trajectory,sample,progress_percent,A1_deg,A2_deg,A3_deg,A4_deg,A5_deg,A6_deg,delta_A1_deg,delta_A2_deg,delta_A3_deg,delta_A4_deg,delta_A5_deg,delta_A6_deg,delta_norm_deg
16:41 P5 aux,0,0.0,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16:41 P5 aux,1,1.5151515151515151,-0.00042381689976849364,-90.00059695364496,90.00049699792962,-0.004449974978500298,0.28256289756541125,0.00035326915288798306,0.00042381689976849364,0.0005969536449583757,0.0004969979296163274,0.00048802502149970176,0.28647889756541123,0.00035226915288798303,0.28648089638513746
16:41 P5 aux,2,3.0303030303030303,-0.0016952675990739713,-90.00238781457986,90.00198799171845,-0.0029858999140011965,1.1419995902616427,0.0014100766115519297,0.0012714506993054776,0.0017908609349035487,0.0014909937888347713,0.0014640750644991014,0.8594366926962314,0.0010568074586639466,0.8594426891554101
16:41 P5 aux,3,4.545454545454546,-0.003814352097916437,-90.00537258280468,90.00447298136653,-0.0005457748065026914,2.5743940780886976,0.0031714223759918424,0.002119084498842466,0.0029847682248203,0.002484989648081637,0.0024401251074985053,1.432394487827055,0.0017613457644399127,1.432404481925686
16:41 P5 aux,4,6.0606060606060606,-0.006781070396295904,-90.00955125831943,90.00795196687383,0.0028704003439952337,4.579746361046584,0.005637306446207734,0.002966718298379467,0.004178675514751262,0.003478985507300081,0.0034161751504979253,2.0053522829578863,0.0024658840702158915,2.00536627469597
16:41 P5 aux,5,7.575757575757576,-0.01059542249421238,-90.01492384112412,90.01242494824037,0.007262625537492586,7.158056439135308,0.00880772882219961,0.0038143520979164753,0.005372582804682224,0.004472981366532736,0.004392225193497352,2.578310078088724,0.0031704223759918757,2.57832806746626
16:41 P5 aux,6,9.090909090909092,-0.015257408391665839,-90.02149033121873,90.01789192546613,0.012630900773989335,10.309324312354851,0.012682689503967446,0.004661985897453459,0.0065664900946131866,0.00546697722576539,0.005368275236496749,3.1512678732195436,0.003874960681767837,3.151289860236532
16:41 P5 aux,7,10.606060606060606,-0.020744966241757583,-90.02921965409934,90.02432702725565,0.018949821843995632,14.018637282364852,0.017243851072398435,0.005487557850091744,0.007729322880607015,0.006435101789520559,0.0063189210700062975,3.70931297001,0.004561161568430989,3.709338850617606
16:41 P5 aux,8,12.121212121212121,-0.02648503849516423,-90.03730464801039,90.03105824544761,0.025559513166849453,17.89863728236482,0.02201489817157712,0.005740072253406649,0.008084993911054994,0.0067312181919589875,0.006609691322853821,3.879999999999969,0.004771047099178683,3.880027071524621
16:41 P5 aux,9,13.636363636363637,-0.032225110748570866,-90.04538964192146,90.03778946363957,0.03216920448970326,21.778637282364777,0.02678594527075579,0.005740072253406635,0.008084993911069205,0.0067312181919589875,0.006609691322853804,3.8799999999999564,0.004771047099178673,3.8800270715246086
16:41 P5 aux,10,15.151515151515152,-0.03796518300197749,-90.05347463583252,90.04452068183153,0.03877889581255705,25.658637282364733,0.03155699236993446,0.005740072253406621,0.008084993911054994,0.0067312181919589875,0.006609691322853793,3.8799999999999564,0.004771047099178666,3.8800270715246086
16:41 P5 aux,11,16.666666666666668,-0.04370525525538475,-90.06155962974357,90.0512519000235,0.04538858713541158,29.538637282365123,0.036328039469113664,0.005740072253407266,0.008084993911054994,0.006731218191973198,0.006609691322854529,3.88000000000039,0.004771047099179207,3.880027071525042
16:41 P5 aux,12,18.181818181818183,-0.049445327508792034,-90.06964462365465,90.05798311821543,0.051998278458266114,33.41863728236551,0.041099086568292864,0.00574007225340728,0.008084993911083416,0.006731218191930566,0.006609691322854536,3.8800000000003863,0.0047710470991792,3.8800270715250385
16:41 P5 aux,13,19.696969696969695,-0.0551853997621993,-90.07772961756572,90.06471433640742,0.05860796978112066,37.298637282365895,0.045870133667472064,0.005740072253407266,0.008084993911069205,0.006731218191987409,0.006609691322854543,3.8800000000003863,0.0047710470991792,3.880027071525039
16:41 P5 aux,14,21.21212121212121,-0.060925472015606566,-90.08581461147676,90.07144555459938,0.0652176611039752,41.17863728236629,0.05064118076665127,0.005740072253407266,0.008084993911040783,0.0067312181919589875,0.006609691322854543,3.8800000000003934,0.004771047099179207,3.8800270715250456
16:41 P5 aux,15,22.727272727272727,-0.06666554426901382,-90.09389960538782,90.07817677279132,0.07182735242682972,45.05863728236668,0.055412227865830464,0.005740072253407252,0.008084993911054994,0.006731218191944777,0.006609691322854522,3.8800000000003934,0.004771047099179193,3.8800270715250456
16:41 P5 aux,16,24.242424242424242,-0.0724056165224211,-90.10198459929889,90.0849079909833,0.07843704374968426,48.93863728236706,0.060183274965009664,0.00574007225340728,0.008084993911069205,0.006731218191973198,0.006609691322854536,3.880000000000379,0.0047710470991792,3.8800270715250313
16:41 P5 aux,17,25.757575757575758,-0.07814568877582836,-90.11006959320994,90.09163920917524,0.0850467350725388,52.81863728236746,0.06495432206418887,0.005740072253407266,0.008084993911054994,0.006731218191944777,0.0066096913228545495,3.8800000000004005,0.004771047099179207,3.8800270715250527
16:41 P5 aux,18,27.272727272727273,-0.08388576102923563,-90.118154587121,90.09837042736719,0.09165642639539333,56.69863728236784,0.06972536916336806,0.005740072253407266,0.008084993911054994,0.006731218191944777,0.006609691322854522,3.880000000000379,0.004771047099179193,3.8800270715250313
16:41 P5 aux,19,28.78787878787879,-0.08962583328264263,-90.12623958103207,90.10510164555916,0.09826611771824756,60.57863728236804,0.07449641626254705,0.0057400722534070026,0.008084993911069205,0.006731218191973198,0.00660969132285423,3.8800000000002015,0.004771047099178985,3.8800270715248537
