trajectory,joint,n_points,q_min_deg,q_max_deg,q_range_deg,max_delta_deg,mean_delta_deg,rms_delta_deg,planned_accumulated_joint_path_deg,limit_lower_deg,limit_upper_deg,min_joint_margin_to_configured_limits_deg,min_margin_at_progress_percent,out_of_configured_limits_points
16:41 P5 aux,A1,67,-14.319453232126444,0.0,14.319453232126444,1.5689934264324146,0.287146874372755,0.5555294690163752,18.95169370860183,-170.0,170.0,155.68054676787355,86.36363636363636,0
16:41 P5 aux,A2,67,-90.18736859413784,-57.59783695635244,32.5895316377854,2.999999999999986,0.6035923806245693,1.0639325473485755,39.837097121221575,-190.0,45.0,99.81263140586216,45.45454545454545,0
16:41 P5 aux,A3,67,90.0,100.55456623772488,10.554566237724885,0.8588265759622544,0.19341840722192455,0.32066043318828163,12.765614876647021,-119.99999999999999,156.0,55.445433762275115,86.36363636363636,0
16:41 P5 aux,A4,67,-0.1484516242762506,0.14824066463127733,0.29669228890752797,0.03431739863727866,0.010484535467632342,0.014268661823617978,0.6919793408637346,-185.0,185.0,184.85154837572375,71.21212121212122,0
16:41 P5 aux,A5,67,-0.003916,89.91453703189441,89.91845303189442,3.8800000000004005,2.148517831379287,2.5687408203563855,141.80217687103294,-119.99999999999999,119.99999999999999,30.085462968105574,45.45454545454545,0
16:41 P5 aux,A6,67,-15.708519559629114,0.11056934394341705,15.819088903572531,1.5958222472795036,0.24135844314418103,0.5180431224178687,15.929657247515948,-350.0,350.0,334.2914804403709,100.0,0
19:39 P5=P3,A1,69,-14.286137197861581,0.0,14.286137197861581,1.5817645327261145,0.21067479550216867,0.49398677398965984,14.325886094147469,-170.0,170.0,155.7138628021384,100.0,0
19:39 P5=P3,A2,69,-90.01616590733629,-57.95384639762601,32.06231950971028,2.9999999999999005,0.5530912287862078,1.0101457574438386,37.61020355746213,-190.0,45.0,99.98383409266371,45.588235294117645,0
19:39 P5=P3,A3,69,89.84872260823525,100.60479650887326,10.756073900638015,0.8546400331630934,0.2158392333861017,0.3568423758678911,14.677067870254916,-119.99999999999999,156.0,55.395203491126736,85.29411764705883,0
19:39 P5=P3,A4,69,-0.11429827518799901,0.12716680157357457,0.24146507676157358,0.05295412412285376,0.0069531021700242855,0.012917619687789626,0.47281094756165143,-185.0,185.0,184.87283319842643,70.58823529411765,0
19:39 P5=P3,A5,69,-0.003916,90.2149787406827,90.2188947406827,3.880000000000493,2.1051164227850987,2.5447224324175908,143.14791674938672,-119.99999999999999,119.99999999999999,29.78502125931729,45.588235294117645,0
19:39 P5=P3,A6,69,-14.313454766784547,1e-06,14.313455766784546,1.5903807700517145,0.21049199657036097,0.4966490056746209,14.313455766784546,-350.0,350.0,335.68654523321544,100.0,0
