segmento,eje,mae_deg,rmse_deg,max_abs_deg
T1,A1,0.009156339804437148,0.010602299324239525,0.018419288859099152
T1,A2,0.023590033104220465,0.02719691552923449,0.04666462409566918
T1,A3,0.05708413687323286,0.06604819092075669,0.11450923910868482
T1,A4,0.08716657271149647,0.100778759756512,0.17434051046147941
T1,A5,0.04727374264941386,0.054655365885630185,0.09454610538072927
T1,A6,0.02052108886524692,0.023738069255236086,0.04112867297774554
T2,A1,0.0338103286891697,0.03648802421032717,0.06601623250171551
T2,A2,0.025746775281660986,0.02930468263771834,0.04755298589797974
T2,A3,0.06968523835042867,0.08119042702699901,0.16404096925126055
T2,A4,0.17828208073278418,0.1782967784851401,0.18223151350393893
T2,A5,0.08265671617135158,0.08405642146327097,0.15231191628354424
T2,A6,0.08063075327637145,0.08462571559271545,0.12960488945245707
T3,A1,0.05442734050627159,0.06522756358248948,0.12995554078370297
T3,A2,0.05408762257486195,0.06060849475907378,0.13548764325679485
T3,A3,0.16555790281447386,0.17893271952579073,0.2292484412384681
T3,A4,0.08404396410505534,0.10074506140410545,0.18223151350393893
T3,A5,0.09291714723863677,0.09571450939423425,0.15231191628354424
T3,A6,0.12143702803222926,0.12153124745351389,0.12960488945245707
T4,A1,0.06266452841156105,0.07278522108771555,0.12995554078370297
T4,A2,0.16517862946308576,0.16895221477379121,0.20295097624085656
T4,A3,0.08957053748277183,0.09957772395786041,0.17303666844964027
T4,A4,0.06670302916392992,0.07261586991957901,0.11597959678620101
T4,A5,0.02976050130071087,0.03937063237112769,0.09218314122408344
T4,A6,0.14745738453562807,0.14798814838677618,0.15825172109820573
T5,A1,0.07872862455211768,0.0918276470962862,0.17423444520682096
T5,A2,0.06297983900267638,0.07119347693843416,0.143994247168294
T5,A3,0.23001152888724882,0.25150652155883996,0.34652801911292386
T5,A4,0.07458024572105187,0.07838953822186939,0.11597959678620101
T5,A5,0.13076993031391004,0.14311119194072627,0.19084744027055933
T5,A6,0.13642240068013556,0.1388393884169099,0.16291222845105313
T6,A1,0.06460682950697116,0.07468056110363712,0.17423444520682096
T6,A2,0.17983642601895447,0.18254930042567838,0.21474160817406585
T6,A3,0.07072081082623675,0.07929489907592979,0.11780399149283483
T6,A4,0.04203938248930204,0.051227451173287926,0.09916469115594025
T6,A5,0.11892718698179156,0.12998200684114544,0.16879854029415498
T6,A6,0.06091560120998395,0.07451280435326815,0.1789908492006358
T7,A1,0.07068774361254801,0.07759845569864625,0.15093230856582518
T7,A2,0.1620421032994188,0.17727625010278614,0.2427231820622211
T7,A3,0.300625426719823,0.323608797966011,0.43172852762992875
T7,A4,0.05556757573728406,0.06446087277251339,0.12011528350412844
T7,A5,0.13493142596999472,0.14752329336688158,0.19424098490630826
T7,A6,0.1327716965071036,0.13619404618837508,0.1789908492006358
T8,A1,0.1351094231475144,0.13542100845245975,0.15093230856582518
T8,A2,0.08508338036311174,0.09183749509559112,0.13091043019667836
T8,A3,0.17533360375654417,0.18453276024319265,0.23594112100973064
T8,A4,0.051056426443854545,0.06060652297767234,0.12011528350412844
T8,A5,0.1037342944839143,0.10697448183999582,0.13362688841298365
T8,A6,0.051770463920006754,0.05577314951301561,0.08741507893428224
T9,A1,0.16143874203253866,0.16281229817097437,0.19632333723823567
T9,A2,0.18248585696566708,0.1829299722308149,0.2073983374874615
T9,A3,0.12021264765834566,0.12859368305515198,0.1955789428345298
T9,A4,0.03561300947611347,0.04112839637580564,0.07210210086777809
T9,A5,0.042507586193826524,0.04577451941672098,0.07154011926152748
T9,A6,0.05296881606798017,0.0566065608829383,0.08622611447137965
