segmento,eje,mae_deg,rmse_deg,max_abs_deg
T1,A1,0.09986479745038945,0.11545817792267947,0.19972552582621575
T1,A2,0.008014342403850563,0.00926561166045185,0.01602890733629181
T1,A3,0.07596747473093479,0.08783029871172007,0.15193339176475718
T1,A4,0.03263949123164598,0.03773613593722237,0.06527921669185163
T1,A5,0.09638445128603124,0.11143495374265977,0.19278474068269702
T1,A6,0.0944626343684185,0.10921081548070447,0.1889109939336777
T2,A1,0.1555420382223911,0.16419684077020372,0.24063046011145178
T2,A2,0.017092949313214235,0.02091320632817623,0.06443011198460624
T2,A3,0.08514873060672577,0.09210979579689135,0.15193339176475718
T2,A4,0.1026907795486397,0.10495999636909202,0.14009780157357457
T2,A5,0.24051074308822315,0.24064378083179613,0.2565439497547075
T2,A6,0.10429975156352762,0.10849816090554282,0.1889109939336777
T3,A1,0.010188489593564816,0.011706932836228664,0.02012571366503657
T3,A2,0.06571025384559444,0.07484841089313918,0.16678639762601222
T3,A3,0.22924906061892508,0.24124267479386255,0.30962655823744
T3,A4,0.061901451034676126,0.07240309073568724,0.14009780157357457
T3,A5,0.0933361202032988,0.110067235876563,0.19037149605531312
T3,A6,0.12177645218444015,0.12294737229443815,0.1509926024569559
T4,A1,0.05610373169183678,0.0647912953128636,0.11195619786158062
T4,A2,0.05367652611866703,0.06421434511743494,0.16678639762601222
T4,A3,0.185363054855031,0.20177325561260448,0.2707134608534574
T4,A4,0.05089882215576005,0.05822003495081719,0.09953927518799902
T4,A5,0.028830422985179033,0.0346002207000029,0.07571106005737249
T4,A6,0.15500355010930517,0.15502160869144363,0.15914176678454695
T5,A1,0.07365001867342848,0.08950558169468686,0.16668961073775534
T5,A2,0.07588700505788576,0.07597200091492953,0.09323453804157111
T5,A3,0.03791594599260137,0.046202665560859404,0.10522310872612195
T5,A4,0.051457504459583886,0.060058043639200503,0.10491309706121682
T5,A5,0.06761107381501691,0.08223026080517545,0.17023766340056312
T5,A6,0.049245725412985566,0.059483168903569986,0.15914176678454695
T6,A1,0.06136202483627593,0.07513438242359868,0.14551703128963744
T6,A2,0.10187401677582031,0.11239748421436216,0.15719561266158166
T6,A3,0.1951485474428258,0.20632691153403523,0.26599392543323575
T6,A4,0.11745025790592045,0.11767914700779256,0.13020488126203417
T6,A5,0.079377999079674,0.0909448587579814,0.17023766340056312
T6,A6,0.023798163677760248,0.02572294617515826,0.04054055803882761
T7,A1,0.04055116116069362,0.04055642016173448,0.04167672852054416
T7,A2,0.09839171919842997,0.10913827230540969,0.1537775716438574
T7,A3,0.16699487830416196,0.18114304309786627,0.23998508870427315
T7,A4,0.07167311281888847,0.0830242542183671,0.15317162839525938
T7,A5,0.10754781092149994,0.10901114553163856,0.12469643132057229
T7,A6,0.03189922491787591,0.03230098604635945,0.04054055803882761
T8,A1,0.064747231335452,0.07841839345770574,0.16427461877465177
T8,A2,0.07665233137678946,0.09370991102043265,0.1739931863441342
T8,A3,0.040934214636890474,0.04813191660873362,0.09635644345136996
T8,A4,0.1409616627253004,0.14113999470910651,0.15317162839525938
T8,A5,0.020951151466005166,0.02467161910467332,0.07060987392575413
T8,A6,0.04742169598318226,0.058283756178186756,0.1571524490602343
T9,A1,0.08800959442742134,0.09850867286860306,0.16427461877465177
T9,A2,0.38543218305237587,0.3980160996696,0.4957141837634822
T9,A3,0.3457234088901451,0.3628048708740544,0.46889199124321124
T9,A4,0.058765807656461486,0.07073205828848793,0.1287233256734908
T9,A5,0.034698501008294365,0.044673805259469776,0.16475854678682111
T9,A6,0.16922806001627508,0.16936984519159207,0.18103742084887386
T10,A1,0.010900690779088472,0.010911682848626486,0.011744570080189476
T10,A2,0.24984489976621524,0.27169685720222053,0.3630490795225114
T10,A3,0.3841481007052303,0.4000041172732401,0.5067749267882817
T10,A4,0.06565428510202835,0.07206982991090394,0.11703693935817483
T10,A5,0.143580016513245,0.14404753113496868,0.16475854678682111
T10,A6,0.14230454996602213,0.14408321469320265,0.18103742084887386
T11,A1,0.05514370426244362,0.06855184921575165,0.12594135204502876
T11,A2,0.10635717554822541,0.10927395014601557,0.16517027684724184
T11,A3,0.08515977191893839,0.10341035189541459,0.19408632817152238
T11,A4,0.052065388995729975,0.060799236540502934,0.11703693935817483
T11,A5,0.11543544782768404,0.12106277824556515,0.17505399262104504
T11,A6,0.1102297606961651,0.1275197957580766,0.22290575505319943
T12,A1,0.054769157990812556,0.06156542198020875,0.10322862910106778
T12,A2,0.08053911612123141,0.09127019101584898,0.19295909345829898
T12,A3,0.07433689174411995,0.08462906651137549,0.12290119521151155
T12,A4,0.1285789757349433,0.13101673163355973,0.17192916935309768
T12,A5,0.040728698894659486,0.04183010205708659,0.07171397621995368
T12,A6,0.09498445408711344,0.09563485910517641,0.11417633611708844
T13,A1,0.04248213381996495,0.050542351345254526,0.09039149545133185
T13,A2,0.052210600135296124,0.0704226416062121,0.19295909345829898
T13,A3,0.1717781712700812,0.18470409219453915,0.23484169984224934
T13,A4,0.09780806235079438,0.10684727177921705,0.17192916935309768
T13,A5,0.10679542750685211,0.10925912263659997,0.14806616856269272
T13,A6,0.049022636489195165,0.05142498185101464,0.07579862596467102
T14,A1,0.020507387974448177,0.02568299743165678,0.09039149545133185
T14,A2,0.042695190546437764,0.05028531979275549,0.13638142235576822
T14,A3,0.056996158274683635,0.06905289224922706,0.1640489934263485
T14,A4,0.07005393075706294,0.08502429626082154,0.1573906833305955
T14,A5,0.10850722758087705,0.12882757908768833,0.2492066483564983
T14,A6,0.09050084172473882,0.10000161537060029,0.17524743145331662
