trajectory,joint,n_points,q_min_deg,q_max_deg,q_range_deg,max_delta_deg,mean_delta_deg,rms_delta_deg,planned_accumulated_joint_path_deg,limit_lower_deg,limit_upper_deg,min_joint_margin_to_configured_limits_deg,min_margin_at_progress_percent,out_of_configured_limits_points
MoveIt2 Base RAW,A1,435,-165.42532748792092,163.7335313511948,329.15885883911574,13.46393496665243,1.773494303414848,3.5485459094152905,769.696527682044,-170.0,170.0,4.574672512079076,55.06912442396313,0
MoveIt2 Base restringido,A1,311,-16.279958012861627,14.577680629413281,30.857638642274907,4.046630031916315,0.35935896223274627,0.7897403165047964,111.40127829215135,-170.0,170.0,153.72004198713836,67.41935483870968,0
MoveIt2 Afinado,A1,199,-16.25413218852201,14.723776031289637,30.977908219811646,3.6000000000000565,0.5660418411893245,1.1281430956236629,112.07628455548627,-170.0,170.0,153.74586781147798,71.71717171717172,0
MoveIt2 Base RAW,A2,435,-114.55650914148251,-8.795940862455318,105.76056827902718,2.794917572194052,0.5304744619474898,0.8632995045881471,230.22591648521058,-190.0,45.0,53.79594086245532,100.0,0
MoveIt2 Base restringido,A2,311,-90.00572614524562,-8.806737312025806,81.19898883321981,3.369892262758981,0.47523123056129035,0.7725887675578453,147.321681474,-190.0,45.0,53.8067373120258,100.0,0
MoveIt2 Afinado,A2,199,-90.01616590733629,-55.1134380934583,34.90272781387799,2.9999999999999005,0.6435141048507981,0.9563401821744693,127.41579276045802,-190.0,45.0,99.98383409266371,15.656565656565656,0
MoveIt2 Base RAW,A3,435,-90.62769963273132,113.12928771576104,203.75698734849237,10.585516465723307,1.4664590922964917,3.062627823310417,636.4432460566774,-119.99999999999999,156.0,29.372300367268664,55.06912442396313,0
MoveIt2 Base restringido,A3,311,-80.45800937159576,113.14081317265799,193.59882254425375,4.6836000000009586,0.7733887119917364,1.602870190567803,239.75050071743829,-119.99999999999999,156.0,39.54199062840422,100.0,0
MoveIt2 Afinado,A3,199,89.84872260823525,113.04987031404751,23.20114770581226,2.200953648205754,0.34761651435981233,0.5647588658830819,68.82806984324284,-119.99999999999999,156.0,42.95012968595249,66.16161616161617,0
MoveIt2 Base RAW,A4,435,-179.96002627432395,180.04777503008748,360.00780130441143,9.985300801247945,3.733061617117729,4.992308248008361,1620.1487418290944,-185.0,185.0,4.952224969912521,25.34562211981567,0
MoveIt2 Base restringido,A4,311,-0.06222060413897744,0.04307364020789198,0.10529424434686942,0.01612546339420394,0.0012986090748709049,0.002784046367305654,0.4025688132099805,-185.0,185.0,184.937779395861,14.193548387096774,0
MoveIt2 Afinado,A4,199,-0.17336916935309768,0.1524526833305955,0.3258218526836932,0.06156637946500722,0.008859040775711488,0.01420779131430715,1.7540900735908749,-185.0,185.0,184.8266308306469,83.83838383838383,0
MoveIt2 Base RAW,A5,435,-90.0415253579151,58.160340755104535,148.20186611301963,8.173489233300645,1.9723003866057338,2.8420102379692733,855.9783677868885,-119.99999999999999,119.99999999999999,29.95847464208488,8.294930875576037,0
MoveIt2 Base restringido,A5,311,-0.003916,89.9927194328039,89.9966354328039,5.047880000000223,0.7859384476244252,1.4097507768384707,243.64091876357182,-119.99999999999999,119.99999999999999,30.00728056719609,8.709677419354838,0
MoveIt2 Afinado,A5,199,-0.018794807961936454,90.2149787406827,90.23377354864463,3.880000000000493,1.3683306448652446,1.9212064831155233,270.9294676833184,-119.99999999999999,119.99999999999999,29.78502125931729,15.656565656565656,0
MoveIt2 Base RAW,A6,435,-194.2041622996938,179.9875040705798,374.1916663702736,9.984001286387269,2.9450642858986997,4.36757566951543,1278.1579000800357,-350.0,350.0,155.7958377003062,25.34562211981567,0
MoveIt2 Base restringido,A6,311,-23.223086359413777,336.8064381946362,360.02952455405,8.001150000002731,2.4840442551010065,4.089969065455688,770.053719081312,-350.0,350.0,13.1935618053638,39.67741935483871,0
MoveIt2 Afinado,A6,199,-23.17993298883942,10.655357326290073,33.83529031512949,3.562153302553853,0.3437086211729101,0.7230611352487519,68.0543069922362,-350.0,350.0,326.8200670111606,42.42424242424242,0
