trajectory,sample,progress_percent,A1_deg,A2_deg,A3_deg,A4_deg,A5_deg,A6_deg,delta_A1_deg,delta_A2_deg,delta_A3_deg,delta_A4_deg,delta_A5_deg,delta_A6_deg,delta_norm_deg
MoveIt2 Base RAW,0,0.0,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MoveIt2 Base RAW,1,0.37593984962406013,-7.295001711879729e-05,-90.00054790740816,89.99956696466495,-0.004900730629355398,0.2825628975654111,-7.648417150771623e-05,7.295001711879729e-05,0.0005479074081620183,0.0004330353350496807,3.726937064460131e-05,0.28647889756541106,7.748417150771622e-05,0.2864797709907812
MoveIt2 Base RAW,2,0.7518796992481203,-0.0002918000684751885,-90.00219162963269,89.99826785865977,-0.004788922517421593,1.1419995902616416,-0.0003089366860308642,0.00021885005135639123,0.0016437222245286875,0.0012991060051774639,0.00011180811193380567,0.8594366926962305,0.000232452514523148,0.8594393129723409
MoveIt2 Base RAW,3,1.1278195488721805,-0.0006565501540691734,-90.00493116667354,89.99610268198448,-0.004602575664198584,2.5743940780886914,-0.0006963575435694438,0.0003647500855939849,0.002739537040852724,0.002165176675291036,0.0001863468532230083,1.4323944878270498,0.00038742085753857956,1.4323988549539006
MoveIt2 Base RAW,4,1.5037593984962405,-0.0011672002739007519,-90.00876651853073,89.99307143463906,-0.004341690069686374,4.579746361046558,-0.0012387467441234545,0.0005106501198315784,0.0038353518571909717,0.0030312473454188194,0.00026088559451221006,2.0053522829578667,0.0005423892005540107,2.005358396935458
MoveIt2 Base RAW,5,1.8796992481203008,-0.0018237504279699243,-90.01369768520428,89.98917411662354,-0.00400626573388496,7.158056439135246,-0.0019361042876928974,0.0006565501540691725,0.00493116667354343,0.003897318015518181,0.0003354243358014144,2.5783100780886876,0.0006973575435694429,2.578317938917019
MoveIt2 Base RAW,6,2.255639097744361,-0.0026262005910763133,-90.01972466650489,89.9844107280875,-0.003596302669668942,10.309324213391426,-0.0027884301475110834,0.000802450163106389,0.006026981300607304,0.004763388536048296,0.0004099630642160181,3.15126777425618,0.000852325859818186,3.1512773819349498
MoveIt2 Base RAW,7,2.6315789473684212,-0.003574550552518635,-90.02684746085005,89.97878127028166,-0.003111800984683315,14.033548856379083,-0.0037957240997807474,0.0009483499614423218,0.007122794345164607,0.005629457805838456,0.00048450168498562684,3.7242246429876573,0.001007293952269664,3.7242359975143433
MoveIt2 Base RAW,8,3.007518796992481,-0.004668800548198558,-90.03506607001155,89.97228574180569,-0.0025527605584084808,18.330731294497586,-0.004957986395065848,0.0010942499956799225,0.008218609161502854,0.006495528475966239,0.0005590404262748342,4.297182438118503,0.001162262295285101,4.297195539495929
MoveIt2 Base RAW,9,3.3834586466165413,-0.005908950453528496,-90.04438049305367,89.96492414339917,-0.0019191814544948825,23.20087103848435,-0.006275216901035156,0.001240149905329938,0.009314423042113162,0.00736159840651851,0.0006335791039135982,4.8701397439867655,0.001317230505969308,4.87015459221344
MoveIt2 Base RAW,10,3.7593984962406015,-0.007295000325909298,-90.05479073040748,89.95669647472135,-0.0012110636436170519,28.643968313755796,-0.007747415678657222,0.0013860498723808025,0.010410237353809748,0.008227668677818656,0.0007081178108778307,5.443097275271445,0.0014721987776220658,5.443113870348055
MoveIt2 Base RAW,11,4.135338345864661,-0.008826950127959662,-90.06629678179227,89.94760273599415,-0.00042840714487268764,34.66002297351342,-0.009374582688227344,0.001531949802050364,0.01150605138479932,0.009093738727202094,0.0007826564987443642,6.016054659757625,0.0016271670095701221,6.016073001683724
