trajectory,joint,n_points,q_min_deg,q_max_deg,q_range_deg,max_delta_deg,mean_delta_deg,rms_delta_deg,planned_accumulated_joint_path_deg,limit_lower_deg,limit_upper_deg,min_joint_margin_to_configured_limits_deg,min_margin_at_progress_percent,out_of_configured_limits_points
MoveIt2 Base RAW,A1,267,-2.1467146589264496,9.304328296755461,11.45104295568191,2.4177015957874355,0.1021477075342822,0.2957330468575449,27.171290204119067,-170.0,170.0,160.69567170324453,62.40601503759399,0
MoveIt2 Base restringido,A1,153,-2.1408963060358883,9.30596740184095,11.446863707876838,2.4057813209260104,0.17864009482447316,0.47716441665936943,27.15329441331992,-170.0,170.0,160.69403259815905,57.89473684210526,0
MoveIt2 Afinado,A1,133,-2.266159540783703,9.370617880455285,11.636777421238989,2.39972725106375,0.20834010581245002,0.5067141653735234,27.500893967243403,-170.0,170.0,160.62938211954472,69.6969696969697,0
MoveIt2 Base RAW,A2,267,-90.17205966761573,-8.802810796715805,81.36924887089992,3.447869401948701,0.42701214340803734,0.8371660414654172,113.58523014653794,-190.0,45.0,53.802810796715804,100.0,0
MoveIt2 Base restringido,A2,153,-90.15315219719687,-8.793357210374987,81.35979498682188,1.970133159190297,0.7467899571328309,1.049391948691565,113.5120734841903,-190.0,45.0,53.793357210374985,100.0,0
MoveIt2 Afinado,A2,133,-90.19775762409567,-57.349953247168294,32.84780437692738,1.741040869622715,0.4990607981658567,0.7512330969094203,65.87602535789308,-190.0,45.0,99.80224237590433,22.727272727272727,0
MoveIt2 Base RAW,A3,267,-80.45719958671782,117.31709989147743,197.77429947819525,10.410023694705705,0.9754589347696964,2.3233566648362696,259.47207664873923,-119.99999999999999,156.0,38.682900108522574,66.16541353383458,0
MoveIt2 Base restringido,A3,153,-80.47237651513522,117.32630879410286,197.79868530923807,5.7348000000010835,1.7075856884296008,2.71466665776426,259.5530246412993,-119.99999999999999,156.0,38.67369120589714,64.47368421052632,0
MoveIt2 Afinado,A3,133,89.81998375225812,117.32698597792967,27.507002225671542,2.8874162705887017,0.6747419039661817,1.0635408870128498,89.06593132353599,-119.99999999999999,156.0,38.67301402207033,43.93939393939394,0
MoveIt2 Base RAW,A4,267,-180.05415246989213,180.09429271014116,360.14844518003326,14.112983979203024,4.061375019746608,5.566122556635406,1080.3257552525977,-185.0,185.0,4.905707289858839,66.16541353383458,0
MoveIt2 Base restringido,A4,153,-0.12368748679742816,0.06364565925696046,0.1873331460543886,0.041115316303266106,0.004816998827227626,0.008512379671417063,0.7321838217385992,-185.0,185.0,184.87631251320258,50.0,0
MoveIt2 Afinado,A4,133,-0.17304051046147942,0.13920028350412844,0.3122407939656079,0.06569263865698532,0.01058668302222341,0.016750413432646792,1.3974421589334902,-185.0,185.0,184.82695948953852,22.727272727272727,0
MoveIt2 Base RAW,A5,267,-48.8665011398616,89.95921127097976,138.82571241084136,7.395406412328089,2.0814061235552366,2.8419107172148363,553.6540288656929,-119.99999999999999,119.99999999999999,30.04078872902022,9.774436090225564,0
MoveIt2 Base restringido,A5,153,-0.003916,89.9828095630667,89.9867255630667,6.180840000000501,1.3375384100085157,2.041024193917561,203.3058383212944,-119.99999999999999,119.99999999999999,30.01719043693329,17.105263157894736,0
MoveIt2 Afinado,A5,133,-0.010320375191777939,89.91557789461928,89.92589826981106,3.8800000000001553,1.605590826141726,2.1918981698084123,211.93798905070784,-119.99999999999999,119.99999999999999,30.08442210538071,22.727272727272727,0
MoveIt2 Base RAW,A6,267,-182.2391417590023,7.750706534723363,189.98984829372566,10.220030087480126,2.7951571134057143,4.311378149976869,743.51179216592,-350.0,350.0,167.7608582409977,66.16541353383458,0
MoveIt2 Base restringido,A6,153,-2.240609607888669,9.32718238031238,11.567791988201048,2.431196753956413,0.18020105820005333,0.4831785121238307,27.390560846408107,-350.0,350.0,340.67281761968763,57.89473684210526,0
MoveIt2 Afinado,A6,133,-2.331584889452457,9.134785150799365,11.466370040251821,2.41495194370936,0.2078318538734267,0.5164319781967806,27.433804711292325,-350.0,350.0,340.86521484920064,69.6969696969697,0
