trajectory,joint,n_points,q_min_deg,q_max_deg,q_range_deg,max_delta_deg,mean_delta_deg,rms_delta_deg,planned_accumulated_joint_path_deg,limit_lower_deg,limit_upper_deg,min_joint_margin_to_configured_limits_deg,min_margin_at_progress_percent,out_of_configured_limits_points
MoveIt2 Base RAW,A1,499,-169.33449362203407,163.73473246397128,333.06922608600536,13.583957000466638,2.1687284249113,3.737560884151538,1080.0267556058275,-170.0,170.0,0.6655063779659258,77.91164658634538,0
MoveIt2 Base restringido,A1,295,-16.26802341736322,14.581261827155805,30.849285244519024,4.044471977542601,0.37905218793910456,0.8175083650721943,111.44134325409674,-170.0,170.0,153.73197658263678,74.82993197278911,0
MoveIt2 Afinado,A1,199,-16.25413218852201,14.723776031289637,30.977908219811646,3.6000000000000565,0.5660418411893245,1.1281430956236629,112.07628455548627,-170.0,170.0,153.74586781147798,71.71717171717172,0
MoveIt2 Base RAW,A2,499,-126.56227150914684,-8.80408904827893,117.75818246086791,3.9737185086832056,0.6859278563637295,1.0890692669352902,341.5920724691373,-190.0,45.0,53.80408904827893,100.0,0
MoveIt2 Base restringido,A2,295,-90.00750474447818,-8.798564044737986,81.2089406997402,3.361780778017902,0.5010343624519092,0.8173436555569388,147.3041025608613,-190.0,45.0,53.79856404473799,100.0,0
MoveIt2 Afinado,A2,199,-90.01616590733629,-55.1134380934583,34.90272781387799,2.9999999999999005,0.6435141048507981,0.9563401821744693,127.41579276045802,-190.0,45.0,99.98383409266371,15.656565656565656,0
MoveIt2 Base RAW,A3,499,-90.60794009242677,113.15410147470658,203.76204156713334,10.11722912940053,1.9620023946144163,3.375733369206042,977.0771925179793,-119.99999999999999,156.0,29.392059907573213,34.136546184738954,0
MoveIt2 Base restringido,A3,295,-80.48445656904353,113.1491316849479,193.63358825399143,5.734800000000863,0.8154998307119461,1.7759021753745603,239.75695022931217,-119.99999999999999,156.0,39.515543430956455,100.0,0
MoveIt2 Afinado,A3,199,89.84872260823525,113.04987031404751,23.20114770581226,2.200953648205754,0.34761651435981233,0.5647588658830819,68.82806984324284,-119.99999999999999,156.0,42.95012968595249,66.16161616161617,0
MoveIt2 Base RAW,A4,499,-180.04767525808901,180.06231813865546,360.10999339674447,14.113582762956897,3.2536559124362943,5.034674115993658,1620.3206443932745,-185.0,185.0,4.937681861344544,92.7710843373494,0
MoveIt2 Base restringido,A4,295,-0.07513960549536737,0.042398414582229746,0.11753802007759712,0.018638532961009178,0.001799722938483062,0.003639119022068225,0.5291185439140202,-185.0,185.0,184.92486039450463,39.795918367346935,0
MoveIt2 Afinado,A4,199,-0.17336916935309768,0.1524526833305955,0.3258218526836932,0.06156637946500722,0.008859040775711488,0.01420779131430715,1.7540900735908749,-185.0,185.0,184.8266308306469,83.83838383838383,0
MoveIt2 Base RAW,A5,499,-89.28757789744031,90.00746861508789,179.2950465125282,7.037515096396376,1.541880159963156,2.3173172371533024,767.8563196616517,-119.99999999999999,119.99999999999999,29.9925313849121,5.220883534136546,0
MoveIt2 Base restringido,A5,295,-0.003916,90.00714840872858,90.01106440872859,6.180840000000423,0.8282400207452961,1.498689121115265,243.50256609911705,-119.99999999999999,119.99999999999999,29.992851591271403,8.843537414965986,0
MoveIt2 Afinado,A5,199,-0.018794807961936454,90.2149787406827,90.23377354864463,3.880000000000493,1.3683306448652446,1.9212064831155233,270.9294676833184,-119.99999999999999,119.99999999999999,29.78502125931729,15.656565656565656,0
MoveIt2 Base RAW,A6,499,-194.15062994407015,343.8203117728103,537.9709417168805,14.109678823169759,3.244306296121213,4.934654045326466,1615.664535468364,-350.0,350.0,6.179688227189672,67.8714859437751,0
MoveIt2 Base restringido,A6,295,-23.18036329049733,336.8989300702841,360.07929336078143,9.79695000000072,2.620010201073536,4.5045897221491,770.2829991156196,-350.0,350.0,13.10106992971589,39.795918367346935,0
MoveIt2 Afinado,A6,199,-23.17993298883942,10.655357326290073,33.83529031512949,3.562153302553853,0.3437086211729101,0.7230611352487519,68.0543069922362,-350.0,350.0,326.8200670111606,42.42424242424242,0
