condition,sample,progress_percent,A1_deg,A2_deg,A3_deg,A4_deg,A5_deg,A6_deg,delta_A1_deg,delta_A2_deg,delta_A3_deg,delta_A4_deg,delta_A5_deg,delta_A6_deg,delta_norm_deg
KRL,0,0.0,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRL,1,0.2070393374741201,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRL,2,0.4140786749482402,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRL,3,0.6211180124223602,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRL,4,0.8281573498964804,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRL,5,1.0351966873706004,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRL,6,1.2422360248447204,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRL,7,1.4492753623188406,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRL,8,1.6563146997929608,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRL,9,1.8633540372670807,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRL,10,2.070393374741201,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRL,11,2.277432712215321,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRL,12,2.484472049689441,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRL,13,2.691511387163561,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRL,14,2.898550724637681,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRL,15,3.1055900621118013,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRL,16,3.3126293995859215,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRL,17,3.5196687370600412,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRL,18,3.7267080745341614,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRL,19,3.9337474120082816,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRL,20,4.140786749482402,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRL,21,4.3478260869565215,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRL,22,4.554865424430642,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRL,23,4.761904761904762,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRL,24,4.968944099378882,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRL,25,5.175983436853002,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRL,26,5.383022774327122,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRL,27,5.590062111801243,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRL,28,5.797101449275362,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRL,29,6.004140786749482,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRL,30,6.211180124223603,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRL,31,6.418219461697722,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRL,32,6.625258799171843,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRL,33,6.832298136645963,0.0,-90.0,90.0,-0.004938,-0.003916,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRL,34,7.0393374741200825,0.0,-90.0,90.0,-0.004938,-0.003909,1e-06,0.0,0.0,0.0,0.0,7.000000000000062e-06,0.0,7.000000000000062e-06
KRL,35,7.246376811594203,-6.5e-05,-90.000488,89.99942,-0.004912,0.420188,-0.00041,6.5e-05,0.0004880000000042628,0.0005799999999993588,2.599999999999998e-05,0.424097,0.000411,0.42409788230430956
KRL,36,7.453416149068323,-0.000764,-90.005043,89.99469,-0.004723,3.1509,-0.002783,0.0006990000000000001,0.004554999999996312,0.004729999999995016,0.00018899999999999993,2.730712,0.002373,2.7307210226092304
KRL,37,7.6604554865424435,-0.00117,-90.007759,89.991875,-0.004611,4.769203,-0.004189,0.000406,0.002715999999992391,0.0028150000000124464,0.00011200000000000012,1.618303,0.0014060000000000001,1.6183083930159914
KRL,38,7.867494824016563,-0.001589,-90.010391,89.989151,-0.004502,6.336934,-0.005551,0.0004189999999999999,0.002632000000005519,0.002723999999986404,0.00010899999999999972,1.5677310000000002,0.0013620000000000004,1.56773622731855
KRL,39,8.074534161490684,-0.001995,-90.013023,89.986427,-0.004394,7.904664,-0.006913,0.0004059999999999999,0.002632000000005519,0.002724000000000615,0.00010799999999999959,1.56773,0.0013619999999999995,1.567735223832137
KRL,40,8.281573498964804,-0.002702,-90.017609,89.981674,-0.004205,10.635548,-0.009286,0.0007070000000000002,0.004585999999989099,0.004753000000008001,0.00018899999999999993,2.7308839999999996,0.002373000000000001,2.730893115916476
KRL,41,8.488612836438923,-0.003094,-90.020149,89.978951,-0.004096,12.203278,-0.010648,0.000392,0.002540000000010423,0.0027230000000031396,0.00010900000000000059,1.5677299999999992,0.0013619999999999986,1.5677350668457977
KRL,42,8.695652173913043,-0.003513,-90.022865,89.976227,-0.003987,13.771008,-0.01201,0.0004190000000000001,0.002715999999992391,0.002724000000000615,0.00010899999999999972,1.567730000000001,0.0013620000000000004,1.567735370596072
KRL,43,8.902691511387163,-0.003919,-90.025497,89.973503,-0.003879,15.338737,-0.013372,0.0004059999999999997,0.002632000000005519,0.002724000000000615,0.00010800000000000002,1.567729,0.0013620000000000004,1.5677342238354688
KRL,44,9.109730848861284,-0.004626,-90.030083,89.96875,-0.003689,18.069622,-0.015744,0.0007070000000000002,0.00458600000000331,0.00475299999999379,0.00019000000000000006,2.730884999999999,0.002372000000000001,2.730894115113765
KRL,45,9.316770186335404,-0.005032,-90.032715,89.966026,-0.003581,19.637352,-0.017106,0.0004060000000000001,0.002631999999991308,0.002724000000000615,0.00010800000000000002,1.567730000000001,0.0013619999999999986,1.5677352238321378
KRL,46,9.523809523809524,-0.005424,-90.035347,89.963303,-0.003472,21.205082,-0.018468,0.000392,0.002632000000005519,0.0027230000000031396,0.00010900000000000016,1.567730000000001,0.0013619999999999986,1.567735218601025
KRL,47,9.730848861283643,-0.005843,-90.037979,89.960487,-0.00336,22.823383,-0.019874,0.0004190000000000001,0.002632000000005519,0.002815999999995711,0.00011199999999999969,1.6183009999999989,0.001406000000000001,1.6183062592791255
KRL,48,9.937888198757763,-0.006576,-90.042732,89.95565,-0.003167,25.604839,-0.02229,0.0007330000000000001,0.00475299999999379,0.004836999999994873,0.00019300000000000003,2.7814559999999986,0.0024160000000000015,2.7814654193622457
KRL,49,10.144927536231885,-0.006995,-90.045448,89.952835,-0.003055,27.223143,-0.023696,0.0004190000000000001,0.002715999999992391,0.0028150000000124464,0.00011200000000000012,1.618304000000002,0.0014059999999999975,1.618309396326304
KRL,50,10.351966873706004,-0.007401,-90.04808,89.950111,-0.002946,28.790873,-0.025058,0.00040599999999999924,0.002632000000005519,0.002723999999986404,0.00010900000000000016,1.567730000000001,0.001362000000000002,1.5677352239013458
KRL,51,10.559006211180124,-0.007807,-90.050713,89.947296,-0.002834,30.409174,-0.026464,0.0004060000000000001,0.002633000000002994,0.0028150000000124464,0.00011199999999999969,1.6183009999999989,0.001406000000000001,1.6183062558523946
KRL,52,10.766045548654244,-0.008514,-90.055298,89.942642,-0.002648,33.089485,-0.028793,0.000707000000000001,0.0045849999999916236,0.0046539999999879456,0.00018599999999999997,2.680311000000003,0.0023289999999999977,2.6803200736755333
KRL,53,10.973084886128364,-0.008933,-90.058014,89.939827,-0.002536,34.707787,-0.030199,0.00041899999999999923,0.002716000000006602,0.0028150000000124464,0.00011200000000000012,1.618302,0.001406000000000001,1.618307396332971
