condition,data_nature,joint,n_points,q_min_deg,q_max_deg,q_range_deg,max_delta_deg,mean_delta_deg,rms_delta_deg,accumulated_joint_path_deg,limit_lower_deg,limit_upper_deg,min_joint_margin_to_configured_limits_deg,min_margin_at_progress_percent,out_of_configured_limits_points
KRL,ejecucion fisica registrada,A1,484,-2.136204,9.313403,11.449607,0.38752200000000003,0.05625594616977225,0.10628203817923369,27.171622,-170.0,170.0,160.686597,65.42443064182194,0
MoveIt2 Afinado,trayectoria planificada por MoveIt2,A1,133,-2.266159540783703,9.370617880455285,11.636777421238989,2.39972725106375,0.20834010581245002,0.5067141653735234,27.500893967243403,-170.0,170.0,160.62938211954472,69.6969696969697,0
KRL,ejecucion fisica registrada,A2,484,-90.151093,-57.205959,32.945134,1.1731719999999939,0.13667326293995857,0.24137596361609487,66.01318599999999,-190.0,45.0,99.848907,17.184265010351968,0
MoveIt2 Afinado,trayectoria planificada por MoveIt2,A2,133,-90.19775762409567,-57.349953247168294,32.84780437692738,1.741040869622715,0.4990607981658567,0.7512330969094203,65.87602535789308,-190.0,45.0,99.80224237590433,22.727272727272727,0
KRL,ejecucion fisica registrada,A3,484,89.843506,117.354469,27.51096299999999,1.6588670000000008,0.18476156935817797,0.3416141747738436,89.23983799999996,-119.99999999999999,156.0,38.645531000000005,74.3271221532091,0
MoveIt2 Afinado,trayectoria planificada por MoveIt2,A3,133,89.81998375225812,117.32698597792967,27.507002225671542,2.8874162705887017,0.6747419039661817,1.0635408870128498,89.06593132353599,-119.99999999999999,156.0,38.67301402207033,43.93939393939394,0
KRL,ejecucion fisica registrada,A4,484,-0.072503,0.019085,0.091588,0.0031669999999999997,0.0004787204968944099,0.0008264759906657893,0.23122199999999998,-185.0,185.0,184.927497,65.42443064182194,0
MoveIt2 Afinado,trayectoria planificada por MoveIt2,A4,133,-0.17304051046147942,0.13920028350412844,0.3122407939656079,0.06569263865698532,0.01058668302222341,0.016750413432646792,1.3974421589334902,-185.0,185.0,184.82695948953852,22.727272727272727,0
KRL,ejecucion fisica registrada,A5,484,-0.003916,90.010124,90.01404000000001,2.882598999999999,0.43880930434782617,0.8328711746739652,211.94489400000003,-119.99999999999999,119.99999999999999,29.98987599999998,17.184265010351968,0
MoveIt2 Afinado,trayectoria planificada por MoveIt2,A5,133,-0.010320375191777939,89.91557789461928,89.92589826981106,3.8800000000001553,1.605590826141726,2.1918981698084123,211.93798905070784,-119.99999999999999,119.99999999999999,30.08442210538071,22.727272727272727,0
KRL,ejecucion fisica registrada,A6,484,-2.205735,9.313776,11.519511000000001,0.3958480000000004,0.05683332091097309,0.10701506170765868,27.450494000000003,-350.0,350.0,340.686224,65.42443064182194,0
MoveIt2 Afinado,trayectoria planificada por MoveIt2,A6,133,-2.331584889452457,9.134785150799365,11.466370040251821,2.41495194370936,0.2078318538734267,0.5164319781967806,27.433804711292325,-350.0,350.0,340.86521484920064,69.6969696969697,0
