condition,data_nature,joint,n_points,q_min_deg,q_max_deg,q_range_deg,max_delta_deg,mean_delta_deg,rms_delta_deg,accumulated_joint_path_deg,limit_lower_deg,limit_upper_deg,min_joint_margin_to_configured_limits_deg,min_margin_at_progress_percent,out_of_configured_limits_points
KRL,ejecucion fisica registrada,A1,804,-16.264189,14.578259,30.842447999999997,1.993633,0.13868188293897885,0.3948657312053128,111.361552,-170.0,170.0,153.735811,58.53051058530511,0
MoveIt2 Afinado,trayectoria planificada por MoveIt2,A1,199,-16.25413218852201,14.723776031289637,30.977908219811646,3.6000000000000565,0.5660418411893245,1.1281430956236629,112.07628455548627,-170.0,170.0,153.74586781147798,71.71717171717172,0
KRL,ejecucion fisica registrada,A2,804,-90.000137,-54.920479,35.079657999999995,1.4136429999999933,0.159235499377335,0.29219588169094407,127.866106,-190.0,45.0,99.920479,83.56164383561644,0
MoveIt2 Afinado,trayectoria planificada por MoveIt2,A2,199,-90.01616590733629,-55.1134380934583,34.90272781387799,2.9999999999999005,0.6435141048507981,0.9563401821744693,127.41579276045802,-190.0,45.0,99.98383409266371,15.656565656565656,0
KRL,ejecucion fisica registrada,A3,804,90.0,113.160347,23.160347,1.075103999999996,0.08632052801992528,0.1712081936417537,69.315384,-119.99999999999999,156.0,42.839653,66.62515566625156,0
MoveIt2 Afinado,trayectoria planificada por MoveIt2,A3,199,89.84872260823525,113.04987031404751,23.20114770581226,2.200953648205754,0.34761651435981233,0.5647588658830819,68.82806984324284,-119.99999999999999,156.0,42.95012968595249,66.16161616161617,0
KRL,ejecucion fisica registrada,A4,804,-0.020357,-0.00131,0.019047,0.0008189999999999985,6.0124533001245335e-05,0.0001233850093124712,0.04828,-185.0,185.0,184.979643,49.19053549190536,0
MoveIt2 Afinado,trayectoria planificada por MoveIt2,A4,199,-0.17336916935309768,0.1524526833305955,0.3258218526836932,0.06156637946500722,0.008859040775711488,0.01420779131430715,1.7540900735908749,-185.0,185.0,184.8266308306469,83.83838383838383,0
KRL,ejecucion fisica registrada,A5,804,-0.003916,90.022202,90.026118,2.3263100000000065,0.33714882689912823,0.6141746894267002,270.730508,-119.99999999999999,119.99999999999999,29.977797999999993,23.038605230386054,0
MoveIt2 Afinado,trayectoria planificada por MoveIt2,A5,199,-0.018794807961936454,90.2149787406827,90.23377354864463,3.880000000000493,1.3683306448652446,1.9212064831155233,270.9294676833184,-119.99999999999999,119.99999999999999,29.78502125931729,15.656565656565656,0
KRL,ejecucion fisica registrada,A6,804,-23.186825,10.677834,33.864659,1.7319289999999992,0.08440498381070984,0.24657609465051225,67.777202,-350.0,350.0,326.813175,55.41718555417186,0
MoveIt2 Afinado,trayectoria planificada por MoveIt2,A6,199,-23.17993298883942,10.655357326290073,33.83529031512949,3.562153302553853,0.3437086211729101,0.7230611352487519,68.0543069922362,-350.0,350.0,326.8200670111606,42.42424242424242,0
